itest_id,aveknow,avecarelessness,avecorrect,numactions,averesbored,averesengcon,averesconf,averesfrust,averesofftask,averesgaming
8,0.35241647600000003,0.183275651,0.483901515,1056,0.208389043,0.679125891,0.115905392,0.112408083,0.156503046,0.19656099600000002
35,0.2551641,0.158848225,0.37965760299999995,993,0.222795806,0.650079058,0.069987405,0.164347459,0.153146586,0.23679963699999998
39,0.281693233,0.152227072,0.454545455,418,0.274699996,0.62807454,0.116389731,0.14382699699999998,0.22192641600000002,0.019816725
64,0.15793823,0.098356599,0.334038055,1419,0.198393872,0.670061962,0.08589527599999999,0.13232798699999998,0.11577322,0.303425527
77,0.19194830699999998,0.094195371,0.413249211,317,0.26145524600000003,0.638636026,0.063971248,0.129858195,0.234331233,0.045096384
126,0.250838364,0.111159403,0.5,406,0.273188488,0.646944495,0.104601634,0.131631829,0.23000511199999998,0.040233379
134,0.18380105,0.113211135,0.323420074,269,0.267901216,0.6125564929999999,0.133687245,0.08876096800000001,0.238335305,0.06220814
156,0.27143222699999997,0.183642876,0.384765625,512,0.255130191,0.637416079,0.134120706,0.11066905699999999,0.208372782,0.052068708
160,0.222439305,0.14599993,0.387009472,739,0.234373482,0.647305606,0.106632401,0.100562531,0.139645963,0.09669477800000001
164,0.11759764800000001,0.081439928,0.25698324,179,0.252203615,0.59731396,0.135031684,0.10566424,0.243512731,0.21415796
205,0.22998825899999997,0.126401241,0.445407279,577,0.24269054899999998,0.6588631229999999,0.11235571,0.132229992,0.18533018199999998,0.077827163
215,0.313221226,0.184542016,0.475655431,534,0.257214045,0.655020529,0.180376753,0.107810764,0.206081281,0.031977724
243,0.38835534200000005,0.21836804699999998,0.566243194,551,0.25175992399999997,0.6761423529999999,0.10813186400000001,0.08680257599999999,0.208192668,0.024505622
255,0.150976657,0.09863368300000001,0.277822258,1249,0.201959243,0.676252959,0.112641183,0.096218211,0.120189986,0.345565348
261,0.104958257,0.058340842999999996,0.291274325,1593,0.213605182,0.68699618,0.065391474,0.13039108,0.132006633,0.39914522799999996
283,0.146352073,0.093224036,0.309661437,1211,0.211405366,0.655710893,0.079307519,0.102919704,0.126860415,0.245489485
285,0.17574829600000003,0.11036303,0.354636591,798,0.260853283,0.637646853,0.12519264800000002,0.127093329,0.17787962899999998,0.056117344000000006
291,0.109906109,0.058950182000000004,0.27591036399999996,714,0.20292856,0.6762770370000001,0.026767602999999997,0.09931226300000001,0.13390801900000002,0.38727409799999996
299,0.193344005,0.124177267,0.39244851299999994,874,0.221647972,0.654010436,0.11319096,0.21052731100000002,0.144921088,0.186946857
337,0.397784256,0.20306051100000003,0.463687151,716,0.253447665,0.652361703,0.10135898300000001,0.12499786199999999,0.180844174,0.09878128300000001
344,0.140497342,0.070146103,0.328159645,451,0.21208609399999998,0.656421005,0.053397003,0.08457492900000001,0.165763356,0.37455102799999995
349,0.28004178,0.163547102,0.432943294,1111,0.222460813,0.6727477759999999,0.088711667,0.21278684,0.155200618,0.078211687
360,0.150901156,0.08986537300000001,0.327910959,1168,0.22134405399999998,0.658255944,0.101942282,0.11264519099999999,0.137648703,0.173189271
372,0.139288566,0.098821159,0.333333333,162,0.27441362199999997,0.59832357,0.155371612,0.188879065,0.24291170199999998,0.08904419599999999
383,0.111147964,0.069152071,0.255166932,1258,0.201511807,0.669241972,0.068417175,0.13328016,0.119862977,0.35191438700000005
391,0.116830269,0.06911221,0.29109063,1302,0.199463905,0.664513142,0.084895379,0.133487635,0.113942855,0.34492697
401,0.158851605,0.10201403,0.302120141,566,0.220783073,0.644450861,0.055901245999999995,0.161661684,0.182277047,0.264356598
404,0.44274492,0.213176411,0.560386473,414,0.22835703,0.673594378,0.10376545400000001,0.150424258,0.169760877,0.047129091
410,0.12157095,0.079201883,0.291793313,658,0.236535391,0.635491419,0.097207635,0.10795328800000001,0.164068094,0.180100686
418,0.12784289699999998,0.090718554,0.254201681,476,0.24474357800000002,0.631749992,0.154619913,0.153091224,0.16602720699999998,0.10639507599999999
447,0.090656155,0.046818032,0.225490196,306,0.212628438,0.6828325890000001,0.039154617,0.134772639,0.16495464199999998,0.301706192
473,0.08263669,0.044333818,0.20441989,724,0.19750796399999998,0.6865810790000001,0.029041796,0.127445198,0.132935205,0.423624681
474,0.165997094,0.10145353300000001,0.30995475100000003,884,0.24557821,0.646951333,0.10438175300000001,0.13885035199999998,0.173113778,0.21038521699999999
475,0.171765275,0.10976695800000001,0.35704874799999997,759,0.25445952899999996,0.639607743,0.11653531800000001,0.143632158,0.174460007,0.06765829
476,0.10922893300000001,0.069040948,0.293759513,1314,0.19551639,0.68763229,0.089650886,0.12416391,0.112046335,0.348984254
