itest_id,aveknow,avecarelessness,avecorrect,numactions,averesbored,averesengcon,averesconf,averesfrust,averesofftask,averesgaming,correctrate,frhrate,frscaffoldh,hintrate,timeover80rate,workinschoolrate,wrongrate,oncebutfail,moreoncebutfail,more80sbutfail,hintbutfail,correctrateless0.5,area_problemid,area_actioncount,area_bottomhint,area_correct,area_correctrate,area_filedin,area_frhrate,area_frscaffoldh,area_hint,area_hintrate,area_scaffold,area_timeover80,area_timeover80rate,area_timetaken,area_workinschoolrate,area_wrong,area_wrongrate,mean_problemid,mean_actioncount,mean_bottomhint,mean_correct,mean_correctrate,mean_filedin,mean_frhrate,mean_frscaffoldh,mean_hint,mean_hintrate,mean_scaffold,mean_timeover80,mean_timeover80rate,mean_timetaken,mean_workinschoolrate,mean_wrong,mean_wrongrate
8,0.35241647600000003,0.183275651,0.483901515,1056,0.208389043,0.679125891,0.115905392,0.112408083,0.156503046,0.19656099600000002,0.6533929089540312,0.3345337620888724,0.4593949804370646,0.13137390702520965,0.07231314480813478,0.9141616566466266,0.2152331840207592,0.10420841683366733,0.03406813627254509,0.03807615230460922,0.04208416833667335,0.3286573146292585,633462626.4117647,2.176470588235294,0.17647058823529413,0.8235294117647058,0.4009803921568627,0.0,0.3127450980392157,0.5294117647058824,0.7058823529411765,0.17549019607843142,1.0,0.17647058823529413,0.17647058823529413,67.88235280164706,0.9411764705882353,0.6470588235294118,0.4235294117647059,104050890.18181819,3.0,0.45454545454545453,0.9090909090909091,0.4121212121212121,0.045454545454545456,0.40075757575757576,0.8181818181818182,1.8636363636363635,0.4856060606060606,0.8636363636363636,0.0,0.0,18.09090908013636,0.9545454545454546,0.22727272727272727,0.10227272727272728
25,0.284903976,0.165526648,0.476718404,451,0.261452617,0.660053986,0.137153188,0.087906094,0.227680312,0.016774497,0.6451234232603055,0.485110748989076,0.6273764258555133,0.0715824732934999,0.17280765284567565,1.0,0.2832941034461947,0.1596958174904943,0.02281368821292776,0.07984790874524715,0.026615969581749048,0.3498098859315589,1913.3846153846155,2.6923076923076925,0.23076923076923078,0.6923076923076923,0.3893162393162393,0.0,0.3893162393162393,0.6923076923076923,1.0,0.22564102564102562,1.3846153846153846,0.6153846153846154,0.24572649572649574,163.92307694930767,1.0,1.0,0.38504273504273506,2262.5,2.0,0.0,0.75,0.55,0.0,0.55,0.75,0.25,0.05,1.5,0.25,0.25,56.750000058249995,1.0,1.0,0.4
33,0.459813486,0.202787469,0.686390533,169,0.26042619100000003,0.6507686770000001,0.059971193,0.06183416,0.296286221,0.010953873000000001,0.7832116788321167,0.4310218978102191,0.489051094890511,0.012530413625304136,0.2851581508515815,1.0,0.2042579075425791,0.15328467153284672,0.0,0.13138686131386862,0.0,0.2043795620437956,3284.1666666666665,1.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.5,0.5,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,103.99999993333334,1.0,0.16666666666666666,0.16666666666666666,2271.0,1.1428571428571428,0.0,0.8571428571428571,0.7857142857142857,0.0,0.7857142857142857,0.8571428571428571,0.0,0.0,1.0,0.14285714285714285,0.14285714285714285,48.85714289428571,1.0,0.2857142857142857,0.21428571428571427
35,0.2551641,0.158848225,0.37965760299999995,993,0.222795806,0.650079058,0.069987405,0.164347459,0.153146586,0.23679963699999998,0.5846164999275048,0.3597000421163101,0.5229696141179395,0.1897470950102529,0.10007582736935763,1.0,0.2256364050622424,0.12200956937799046,0.045454545454545456,0.04784688995215311,0.045454545454545456,0.4258373205741627,104051124.0,2.111111111111111,0.1111111111111111,0.6666666666666666,0.35185185185185186,0.0,0.2037037037037037,0.37037037037037035,0.5555555555555556,0.16666666666666666,0.6666666666666666,0.1111111111111111,0.05555555555555555,48.44444438644445,1.0,0.8888888888888888,0.48148148148148157,104050898.33333333,2.625,0.125,1.1666666666666667,0.6321428571428572,0.041666666666666664,0.5660714285714287,0.8011904761904761,0.7916666666666666,0.13779761904761903,1.25,0.20833333333333334,0.07192460317460317,84.12500000091667,1.0,0.6666666666666666,0.2300595238095238
65,0.106046066,0.056795766,0.31626120399999996,781,0.215421196,0.683785333,0.076948047,0.084162587,0.140917392,0.388473412,0.4350092958243428,0.3600627863950749,0.6297443761393605,0.2652065889526704,0.08384109794768099,1.0,0.2997841152229868,0.18181818181818185,0.06896551724137931,0.047021943573667714,0.09404388714733544,0.5956112852664577,2050.6,3.1,0.7,0.7,0.17833333333333332,0.0,0.2783333333333334,0.7,2.1,0.6016666666666667,0.8,0.2,0.125,68.399999972,1.0,0.3,0.22000000000000003,2238.125,2.375,0.125,1.0,0.6125,0.0,0.48750000000000004,0.6625,0.375,0.07500000000000001,1.375,0.5,0.1375,168.74999996975,1.0,1.0,0.3125
86,0.17564993399999998,0.084595095,0.408918406,1054,0.250262441,0.623113171,0.087392179,0.146212281,0.15865586,0.072253519,0.5554594265062744,0.4877179574490159,0.5782851359167148,0.2078275628362384,0.10538968903341372,1.0,0.2367130106574873,0.16263736263736264,0.03736263736263736,0.06593406593406594,0.1054945054945055,0.42417582417582417,2523.8888888888887,2.7037037037037037,0.1111111111111111,0.7777777777777778,0.3944444444444444,0.14814814814814814,0.5179012345679012,0.6666666666666666,1.4074074074074074,0.42386831275720166,1.1111111111111112,0.1111111111111111,0.07407407407407407,79.70370367722222,1.0,0.5185185185185185,0.18168724279835388,2253.625,3.6875,0.25,1.6875,0.6812499999999999,0.0625,0.5968749999999999,0.696875,0.75,0.10833333333333334,1.9375,0.375,0.18645833333333336,113.8749999873125,1.0,1.25,0.21041666666666667
87,0.519110927,0.198341627,0.769565217,230,0.22704435899999997,0.664749135,0.07261280099999999,0.039176787000000005,0.19507048300000002,0.005256235,0.8340476190476189,0.3032142857142857,0.3325,0.008095238095238095,0.1975,1.0,0.15785714285714286,0.115,0.0,0.04,0.005,0.14,721.625,1.0,0.0,0.875,0.875,0.0,0.25,0.25,0.0,0.0,0.25,0.5,0.5,122.500000055,1.0,0.125,0.125,2264.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00000024,1.0,0.0,0.0
118,0.12032008699999999,0.07951979299999999,0.319460727,1706,0.25086445,0.662240229,0.137439106,0.142874016,0.154649462,0.129343182,0.4598765341831593,0.3840285901822881,0.6517663705067404,0.1989007001815168,0.0700809398613713,0.6797637390857729,0.34122276563532306,0.17719568567026195,0.02157164869029276,0.046224961479198766,0.046224961479198766,0.5778120184899846,1815.2121212121212,3.484848484848485,0.24242424242424243,0.7878787878787878,0.29632034632034626,0.0,0.3114718614718614,0.6484848484848484,1.5151515151515151,0.3300865800865801,1.5454545454545454,0.12121212121212122,0.052308802308802305,65.72727272778788,0.4686868686868687,1.1818181818181819,0.3735930735930736,2261.714285714286,3.5,0.5,0.8571428571428571,0.31190476190476196,0.0,0.38333333333333336,0.8571428571428571,1.7857142857142858,0.4416666666666667,1.6428571428571428,0.0,0.0,47.42857142857143,0.9285714285714286,0.8571428571428571,0.24642857142857144
129,0.21483501300000002,0.112076632,0.444656489,524,0.254311706,0.644452215,0.084628632,0.137294769,0.205011654,0.101658581,0.6243872549019608,0.4533876050420168,0.5717714169000934,0.10102124183006532,0.20182510504201684,0.9606967787114844,0.27459150326797394,0.16544117647058826,0.025735294117647058,0.08455882352941177,0.036764705882352935,0.3713235294117647,2648.6875,2.0,0.0,0.9375,0.6235119047619048,0.0,0.5922619047619047,0.6875,0.5,0.09821428571428571,1.1875,0.5,0.36160714285714285,130.68750000725,0.769345238095238,0.5625,0.27827380952380953,2269.0,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,80.50000022,1.0,1.0,0.3333333333333333
132,0.24950218899999999,0.13837559300000002,0.5,450,0.269245446,0.657856784,0.15872676,0.146803922,0.229158814,0.012235423,0.6423607450360217,0.4352574240028115,0.5704797047970479,0.015458618871903003,0.1832279037076085,1.0,0.3421806360920753,0.16974169741697415,0.022140221402214017,0.08487084870848709,0.007380073800738006,0.30996309963099633,1119.3846153846155,1.4615384615384615,0.0,0.6923076923076923,0.5256410256410257,0.0,0.4487179487179487,0.5384615384615384,0.07692307692307693,0.02564102564102564,0.6923076923076923,0.38461538461538464,0.21794871794871792,121.307692346,1.0,0.6923076923076923,0.4487179487179487,2270.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,202.0000001,1.0,0.0,0.0
