itest_id,aveknow,avecarelessness,avecorrect,numactions,averesbored,averesengcon,averesconf,averesfrust,averesofftask,averesgaming,correctrate,frhrate,frscaffoldh,hintrate,timeover80rate,workinschoolrate,wrongrate,oncebutfail,moreoncebutfail,more80sbutfail,hintbutfail,correctrateless0.5,pattern-finding_problemid,pattern-finding_actioncount,pattern-finding_bottomhint,pattern-finding_correct,pattern-finding_correctrate,pattern-finding_filedin,pattern-finding_frhrate,pattern-finding_frscaffoldh,pattern-finding_hint,pattern-finding_hintrate,pattern-finding_scaffold,pattern-finding_timeover80,pattern-finding_timeover80rate,pattern-finding_timetaken,pattern-finding_workinschoolrate,pattern-finding_wrong,pattern-finding_wrongrate,probability_problemid,probability_actioncount,probability_bottomhint,probability_correct,probability_correctrate,probability_filedin,probability_frhrate,probability_frscaffoldh,probability_hint,probability_hintrate,probability_scaffold,probability_timeover80,probability_timeover80rate,probability_timetaken,probability_workinschoolrate,probability_wrong,probability_wrongrate,equation-solving_problemid,equation-solving_actioncount,equation-solving_bottomhint,equation-solving_correct,equation-solving_correctrate,equation-solving_filedin,equation-solving_frhrate,equation-solving_frscaffoldh,equation-solving_hint,equation-solving_hintrate,equation-solving_scaffold,equation-solving_timeover80,equation-solving_timeover80rate,equation-solving_timetaken,equation-solving_workinschoolrate,equation-solving_wrong,equation-solving_wrongrate
8,0.35241647600000003,0.183275651,0.483901515,1056,0.208389043,0.679125891,0.115905392,0.112408083,0.156503046,0.19656099600000002,0.6533929089540312,0.3345337620888724,0.4593949804370646,0.13137390702520965,0.07231314480813478,0.9141616566466266,0.2152331840207592,0.10420841683366733,0.03406813627254509,0.03807615230460922,0.04208416833667335,0.3286573146292585,104050956.58333333,1.5833333333333333,0.0,0.9166666666666666,0.7569444444444445,0.0,0.40277777777777773,0.4166666666666667,0.16666666666666666,0.06944444444444443,0.5,0.25,0.25,52.083333337,0.8333333333333334,0.5,0.17361111111111108,104050765.25,1.45,0.0,0.9,0.7516666666666667,0.0,0.20166666666666666,0.35,0.1,0.026666666666666665,0.7,0.05,0.016666666666666666,31.949999940250002,0.85,0.45,0.22166666666666668,104050921.38095239,2.619047619047619,0.3333333333333333,0.9523809523809523,0.4758503401360545,0.047619047619047616,0.22981859410430838,0.3333333333333333,1.380952380952381,0.3638321995464852,0.3333333333333333,0.09523809523809523,0.09523809523809523,40.857142868857146,0.8571428571428571,0.2857142857142857,0.16031746031746033
9,0.18513758800000002,0.099733995,0.438492063,504,0.277149083,0.644744405,0.098078229,0.162770504,0.213377961,0.005554028000000001,0.5980044064409389,0.4600081904106672,0.6090849673202614,0.11343767916523333,0.15643405900371846,1.0,0.2885579143938277,0.16470588235294115,0.023529411764705882,0.07058823529411765,0.0392156862745098,0.392156862745098,1410.3333333333333,1.6666666666666667,0.0,1.0,0.7777777777777777,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.3333333333333333,121.66666660100002,1.0,0.3333333333333333,0.1111111111111111,2239.3684210526317,1.5263157894736843,0.05263157894736842,0.8421052631578947,0.6710526315789473,0.0,0.3947368421052631,0.5263157894736842,0.15789473684210525,0.05263157894736842,0.7368421052631579,0.21052631578947367,0.13596491228070173,63.263157873684214,1.0,0.5263157894736842,0.27631578947368424,3629.0,3.6666666666666665,0.2222222222222222,0.6666666666666666,0.36140350877192984,0.0,0.25614035087719295,0.5555555555555556,1.1111111111111112,0.12456140350877193,2.111111111111111,0.5555555555555556,0.13450292397660818,139.55555555711112,1.0,1.8888888888888888,0.5140350877192983
11,0.124831573,0.09031830800000001,0.32695652199999997,575,0.262076397,0.6434175999999999,0.147169095,0.118976539,0.208980886,0.08345938,0.4697712939342405,0.3912441539115647,0.6804793792517007,0.14887595663265304,0.18473639455782315,0.9787946428571428,0.3813527494331067,0.16964285714285715,0.026785714285714284,0.11607142857142858,0.026785714285714284,0.5401785714285714,2723.0,3.2941176470588234,0.0,1.2352941176470589,0.5453781512605043,0.0,0.41344537815126053,0.7285714285714286,0.5294117647058824,0.10812324929971988,2.0,0.5294117647058824,0.111484593837535,226.88235295435297,1.0,1.5294117647058822,0.34649859943977596,2088.6,4.4,0.2,0.9,0.3916666666666667,0.0,0.3875,0.7541666666666667,1.2,0.11666666666666667,2.3,0.2,0.15,124.8000000181,1.0,2.3,0.4916666666666666,1471.0,2.75,0.0,0.75,0.25,0.0,0.125,0.25,0.25,0.0625,0.5,0.5,0.3125,77.25000018825,1.0,1.75,0.6875
25,0.284903976,0.165526648,0.476718404,451,0.261452617,0.660053986,0.137153188,0.087906094,0.227680312,0.016774497,0.6451234232603055,0.485110748989076,0.6273764258555133,0.0715824732934999,0.17280765284567565,1.0,0.2832941034461947,0.1596958174904943,0.02281368821292776,0.07984790874524715,0.026615969581749048,0.3498098859315589,920.875,1.1875,0.0,0.9375,0.8645833333333333,0.0,0.6770833333333333,0.75,0.0,0.0,0.9375,0.125,0.08333333333333333,45.68749995262499,1.0,0.25,0.13541666666666666,2078.4210526315787,1.631578947368421,0.05263157894736842,0.8421052631578947,0.7163742690058479,0.0,0.5584795321637427,0.5789473684210527,0.2631578947368421,0.09649122807017543,0.9473684210526315,0.21052631578947367,0.13742690058479531,84.15789472831578,1.0,0.5263157894736842,0.1871345029239766,2105.8333333333335,1.3333333333333333,0.0,0.6666666666666666,0.5,0.0,0.6666666666666666,0.5,0.5,0.4166666666666667,0.6666666666666666,0.16666666666666666,0.16666666666666666,54.66666663316667,1.0,0.16666666666666666,0.08333333333333333
35,0.2551641,0.158848225,0.37965760299999995,993,0.222795806,0.650079058,0.069987405,0.164347459,0.153146586,0.23679963699999998,0.5846164999275048,0.3597000421163101,0.5229696141179395,0.1897470950102529,0.10007582736935763,1.0,0.2256364050622424,0.12200956937799046,0.045454545454545456,0.04784688995215311,0.045454545454545456,0.4258373205741627,104051227.05,1.85,0.15,0.85,0.5933333333333333,0.0,0.5516666666666666,0.75,0.6,0.14833333333333334,0.85,0.2,0.11666666666666665,41.00000002965,1.0,0.4,0.2583333333333333,385300782.09375,2.46875,0.21875,0.84375,0.5874763257575757,0.09375,0.20466382575757575,0.3522727272727273,0.9375,0.18809185606060608,0.625,0.1875,0.12002840909090909,54.65625000159375,1.0,0.6875,0.2244318181818182,104050971.0909091,2.727272727272727,0.36363636363636365,0.8181818181818182,0.48116883116883125,0.0,0.06688311688311689,0.2727272727272727,1.3636363636363635,0.26038961038961045,0.2727272727272727,0.45454545454545453,0.22727272727272727,85.36363632718181,1.0,0.5454545454545454,0.25844155844155847
39,0.281693233,0.152227072,0.454545455,418,0.274699996,0.62807454,0.116389731,0.14382699699999998,0.22192641600000002,0.019816725,0.627251184834123,0.40697975010771226,0.4929699842022117,0.10384891569725696,0.14081574034180666,0.9928909952606636,0.2688998994686199,0.12322274881516587,0.08530805687203792,0.08530805687203792,0.07109004739336493,0.3459715639810427,1004051303.1,3.5,0.2,0.9,0.39166666666666666,0.0,0.4966666666666667,0.75,1.2,0.14166666666666666,1.6,0.4,0.045,164.30000002360003,1.0,1.4,0.4666666666666666,1277963830.3043478,3.608695652173913,0.17391304347826086,1.173913043478261,0.4855072463768116,0.08695652173913043,0.17562582345191038,0.33043478260869563,1.0,0.19617918313570487,1.0434782608695652,0.6521739130434783,0.12806324110671935,217.04347834804352,1.0,1.434782608695652,0.31831357048748343,104051145.5,1.5,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.500000119999996,1.0,1.0,0.75
41,0.333401908,0.184292185,0.575250836,299,0.26282332199999997,0.652414167,0.079203998,0.137098979,0.24949786,0.00966896,0.7188375350140055,0.4735760971055089,0.5,0.09327147525676936,0.2150326797385621,1.0,0.18789098972922505,0.15196078431372548,0.00980392156862745,0.0931372549019608,0.06372549019607843,0.2696078431372549,682.7272727272727,1.4545454545454546,0.0,0.9090909090909091,0.7909090909090909,0.0,0.5909090909090909,0.6363636363636364,0.09090909090909091,0.018181818181818184,0.7272727272727273,0.2727272727272727,0.2,70.45454548,1.0,0.45454545454545453,0.19090909090909092,2102.7,1.2,0.0,0.8,0.75,0.0,0.65,0.6,0.2,0.1,0.7,0.3,0.2,53.69999995620001,1.0,0.2,0.15,4832.0,1.8,0.0,0.8,0.64,0.0,0.24,0.4,0.4,0.08,0.8,0.0,0.0,37.1999999988,1.0,0.6,0.27999999999999997
64,0.15793823,0.098356599,0.334038055,1419,0.198393872,0.670061962,0.08589527599999999,0.13232798699999998,0.11577322,0.303425527,0.4776148790941688,0.3568555814117943,0.6031777339469646,0.2842888264485896,0.022583826429980282,1.0,0.2380962944572413,0.11045364891518736,0.04733727810650888,0.01380670611439842,0.0670611439842209,0.5404339250493096,104050432.57142857,3.380952380952381,0.14285714285714285,1.4761904761904763,0.6015718408575551,0.23809523809523808,0.46145640074211497,0.8412698412698413,1.3333333333333333,0.28289012574726863,1.2857142857142858,0.0,0.0,52.76190480757142,1.0,0.5714285714285714,0.11553803339517624,414395612.2758621,3.0344827586206895,0.22413793103448276,1.1551724137931034,0.5232758620689654,0.05172413793103448,0.3427203065134099,0.6484674329501916,1.1724137931034482,0.2709291187739464,1.0517241379310345,0.034482758620689655,0.014367816091954021,36.22413791087931,1.0,0.7068965517241379,0.20579501915708817,104050688.48148148,3.5925925925925926,0.5185185185185185,0.7407407407407407,0.2949000587889477,0.037037037037037035,0.36897413286302166,0.6378600823045267,2.2962962962962963,0.5113462669018225,0.8518518518518519,0.0,0.0,38.29629626974074,1.0,0.5555555555555556,0.19375367430922988
65,0.106046066,0.056795766,0.31626120399999996,781,0.215421196,0.683785333,0.076948047,0.084162587,0.140917392,0.388473412,0.4350092958243428,0.3600627863950749,0.6297443761393605,0.2652065889526704,0.08384109794768099,1.0,0.2997841152229868,0.18181818181818185,0.06896551724137931,0.047021943573667714,0.09404388714733544,0.5956112852664577,2318.4615384615386,3.076923076923077,0.46153846153846156,0.7692307692307693,0.41981351981351983,0.0,0.3621212121212122,0.7692307692307693,1.9230769230769231,0.35582750582750583,0.9230769230769231,0.0,0.0,38.99999992669231,1.0,0.38461538461538464,0.22435897435897434,2072.2,2.6,0.4,1.0,0.4833333333333333,0.0,0.1833333333333333,0.6,1.0,0.2833333333333333,1.0,0.0,0.0,17.7999999048,1.0,0.6,0.2333333333333333,1784.5,1.5,0.16666666666666666,1.0,0.875,0.0,0.20833333333333334,0.3333333333333333,0.5,0.125,0.3333333333333333,0.0,0.0,16.166666826333337,1.0,0.0,0.0
77,0.19194830699999998,0.094195371,0.413249211,317,0.26145524600000003,0.638636026,0.063971248,0.129858195,0.234331233,0.045096384,0.6406708862015439,0.3765249812159441,0.4669211195928753,0.159024051408932,0.2466955545753872,1.0,0.20030506238952425,0.08396946564885496,0.053435114503816786,0.06870229007633588,0.0916030534351145,0.2977099236641221,104051192.0,1.6,0.0,1.0,0.7,0.0,0.6,0.8,0.2,0.1,1.0,0.4,0.2,81.0000001,1.0,0.4,0.2,104050788.0,1.6923076923076923,0.0,1.0,0.7051282051282051,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.4230769230769231,83.15384616769231,1.0,0.6923076923076923,0.2948717948717948,104050563.25,1.5,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.625,103.75000004999998,1.0,0.5,0.25
