itest_id,aveknow,avecarelessness,avecorrect,numactions,averesbored,averesengcon,averesconf,averesfrust,averesofftask,averesgaming,correctrate,frhrate,frscaffoldh,hintrate,timeover80rate,workinschoolrate,wrongrate,oncebutfail,moreoncebutfail,more80sbutfail,hintbutfail,correctrateless0.5,wrong_and_over80,average_questions_by_day,std_questions_by_day,average_questions_by_mon,std_questions_by_mon,day_to_answer_question,mon_to_answer_question
8,0.35241647600000003,0.183275651,0.483901515,1056,0.208389043,0.679125891,0.115905392,0.112408083,0.156503046,0.19656099600000002,0.6533929089540312,0.3345337620888724,0.4593949804370646,0.13137390702520965,0.07231314480813478,0.9141616566466266,0.2152331840207592,0.10420841683366733,0.03406813627254509,0.03807615230460922,0.04208416833667335,0.3286573146292585,0.03807615230460922,35.642857142857146,17.981217306516704,62.375,33.444783919597555,14,8
9,0.18513758800000002,0.099733995,0.438492063,504,0.277149083,0.644744405,0.098078229,0.162770504,0.213377961,0.005554028000000001,0.5980044064409389,0.4600081904106672,0.6090849673202614,0.11343767916523333,0.15643405900371846,1.0,0.2885579143938277,0.16470588235294115,0.023529411764705882,0.07058823529411765,0.0392156862745098,0.392156862745098,0.07058823529411765,36.42857142857143,13.624208146495986,51.0,14.212670403551895,7,5
11,0.124831573,0.09031830800000001,0.32695652199999997,575,0.262076397,0.6434175999999999,0.147169095,0.118976539,0.208980886,0.08345938,0.4697712939342405,0.3912441539115647,0.6804793792517007,0.14887595663265304,0.18473639455782315,0.9787946428571428,0.3813527494331067,0.16964285714285715,0.026785714285714284,0.11607142857142858,0.026785714285714284,0.5401785714285714,0.11607142857142858,24.88888888888889,12.7420999490316,56.0,76.80711772572471,9,4
25,0.284903976,0.165526648,0.476718404,451,0.261452617,0.660053986,0.137153188,0.087906094,0.227680312,0.016774497,0.6451234232603055,0.485110748989076,0.6273764258555133,0.0715824732934999,0.17280765284567565,1.0,0.2832941034461947,0.1596958174904943,0.02281368821292776,0.07984790874524715,0.026615969581749048,0.3498098859315589,0.07984790874524715,32.875,21.86606960566988,65.75,62.72891411993887,8,4
27,0.14203118,0.069297361,0.348837209,129,0.33022623100000004,0.551366771,0.122657966,0.095420442,0.34808970100000003,0.036900055,0.5738930737130016,0.4126785879186839,0.5588746487606032,0.10828573187516766,0.3601575795153226,1.0,0.31782119441183065,0.14285714285714285,0.061224489795918366,0.16326530612244894,0.040816326530612235,0.4081632653061225,0.16326530612244897,8.166666666666666,6.112828041640519,12.25,11.786291472158096,6,4
33,0.459813486,0.202787469,0.686390533,169,0.26042619100000003,0.6507686770000001,0.059971193,0.06183416,0.296286221,0.010953873000000001,0.7832116788321167,0.4310218978102191,0.489051094890511,0.012530413625304136,0.2851581508515815,1.0,0.2042579075425791,0.15328467153284672,0.0,0.13138686131386862,0.0,0.2043795620437956,0.13138686131386862,22.833333333333332,17.645584905767976,45.666666666666664,36.11555528208494,6,3
35,0.2551641,0.158848225,0.37965760299999995,993,0.222795806,0.650079058,0.069987405,0.164347459,0.153146586,0.23679963699999998,0.5846164999275048,0.3597000421163101,0.5229696141179395,0.1897470950102529,0.10007582736935763,1.0,0.2256364050622424,0.12200956937799046,0.045454545454545456,0.04784688995215311,0.045454545454545456,0.4258373205741627,0.04784688995215311,29.857142857142858,20.84690400499332,59.714285714285715,48.272539763701005,14,7
37,0.071909241,0.046183228,0.30578512399999996,121,0.326383714,0.6534446429999999,0.12532470199999998,0.09471427699999999,0.45146704,0.016241102,0.4000258799171843,0.5521997929606625,0.7047101449275364,0.3444616977225673,0.1973084886128364,1.0,0.2555124223602485,0.21739130434782608,0.021739130434782608,0.043478260869565216,0.17391304347826084,0.5869565217391305,0.043478260869565216,15.333333333333334,3.0550504633038935,15.333333333333334,3.0550504633038935,3,3
39,0.281693233,0.152227072,0.454545455,418,0.274699996,0.62807454,0.116389731,0.14382699699999998,0.22192641600000002,0.019816725,0.627251184834123,0.40697975010771226,0.4929699842022117,0.10384891569725696,0.14081574034180666,0.9928909952606636,0.2688998994686199,0.12322274881516587,0.08530805687203792,0.08530805687203792,0.07109004739336493,0.3459715639810427,0.08530805687203792,26.375,16.81782642657147,30.142857142857142,24.113817418156554,8,7
41,0.333401908,0.184292185,0.575250836,299,0.26282332199999997,0.652414167,0.079203998,0.137098979,0.24949786,0.00966896,0.7188375350140055,0.4735760971055089,0.5,0.09327147525676936,0.2150326797385621,1.0,0.18789098972922505,0.15196078431372548,0.00980392156862745,0.0931372549019608,0.06372549019607843,0.2696078431372549,0.09313725490196079,34.0,16.816658407662327,40.8,15.706686474237653,6,5
