itest_id,aveknow,avecarelessness,avecorrect,numactions,averesbored,averesengcon,averesconf,averesfrust,averesofftask,averesgaming,correctrate,frhrate,frscaffoldh,hintrate,timeover80rate,workinschoolrate,wrongrate,oncebutfail,moreoncebutfail,more80sbutfail,hintbutfail,correctrateless0.5
8,0.35241647600000003,0.183275651,0.483901515,1056,0.208389043,0.679125891,0.115905392,0.112408083,0.156503046,0.196560996,0.6533929089540312,0.33453376208887237,0.4593949804370646,0.13137390702520965,0.07231314480813478,0.9141616566466266,0.21523318402075917,0.10420841683366733,0.03406813627254509,0.03807615230460922,0.04208416833667335,0.3286573146292585
9,0.185137588,0.099733995,0.438492063,504,0.277149083,0.644744405,0.098078229,0.162770504,0.213377961,0.005554028000000001,0.5980044064409389,0.46000819041066715,0.6090849673202614,0.11343767916523333,0.15643405900371843,1.0,0.2885579143938277,0.16470588235294117,0.023529411764705882,0.07058823529411765,0.0392156862745098,0.39215686274509803
11,0.124831573,0.090318308,0.326956522,575,0.262076397,0.6434175999999999,0.147169095,0.118976539,0.208980886,0.08345938,0.4697712939342405,0.3912441539115647,0.6804793792517007,0.14887595663265304,0.18473639455782315,0.9787946428571429,0.3813527494331067,0.16964285714285715,0.026785714285714284,0.11607142857142858,0.026785714285714284,0.5401785714285714
25,0.284903976,0.165526648,0.476718404,451,0.261452617,0.660053986,0.137153188,0.087906094,0.227680312,0.016774497,0.6451234232603055,0.48511074898907597,0.6273764258555133,0.0715824732934999,0.17280765284567565,1.0,0.2832941034461947,0.1596958174904943,0.022813688212927757,0.07984790874524715,0.026615969581749048,0.34980988593155893
27,0.14203118,0.069297361,0.348837209,129,0.33022623100000004,0.551366771,0.122657966,0.095420442,0.34808970100000003,0.036900055,0.5738930737130016,0.4126785879186839,0.5588746487606032,0.10828573187516766,0.3601575795153226,1.0,0.31782119441183065,0.14285714285714285,0.061224489795918366,0.16326530612244897,0.04081632653061224,0.40816326530612246
33,0.459813486,0.202787469,0.686390533,169,0.26042619100000003,0.6507686770000001,0.059971193,0.06183416,0.296286221,0.010953873,0.7832116788321167,0.43102189781021905,0.48905109489051096,0.012530413625304136,0.28515815085158147,1.0,0.2042579075425791,0.15328467153284672,0.0,0.13138686131386862,0.0,0.20437956204379562
35,0.2551641,0.158848225,0.379657603,993,0.222795806,0.650079058,0.069987405,0.164347459,0.153146586,0.236799637,0.5846164999275048,0.35970004211631007,0.5229696141179395,0.1897470950102529,0.10007582736935765,1.0,0.2256364050622424,0.12200956937799043,0.045454545454545456,0.04784688995215311,0.045454545454545456,0.4258373205741627
37,0.071909241,0.046183228,0.305785124,121,0.326383714,0.6534446429999999,0.12532470199999998,0.094714277,0.45146704,0.016241102,0.4000258799171843,0.5521997929606625,0.7047101449275364,0.3444616977225673,0.19730848861283642,1.0,0.25551242236024846,0.21739130434782608,0.021739130434782608,0.043478260869565216,0.17391304347826086,0.5869565217391305
39,0.281693233,0.152227072,0.454545455,418,0.274699996,0.62807454,0.116389731,0.14382699699999998,0.221926416,0.019816725,0.627251184834123,0.40697975010771226,0.49296998420221166,0.10384891569725696,0.14081574034180666,0.9928909952606635,0.2688998994686199,0.12322274881516587,0.08530805687203792,0.08530805687203792,0.07109004739336493,0.3459715639810427
41,0.333401908,0.184292185,0.575250836,299,0.262823322,0.652414167,0.079203998,0.137098979,0.24949786,0.00966896,0.7188375350140055,0.4735760971055089,0.5,0.09327147525676935,0.2150326797385621,1.0,0.18789098972922502,0.15196078431372548,0.00980392156862745,0.09313725490196079,0.06372549019607843,0.2696078431372549
43,0.092025932,0.032514726,0.274336283,113,0.266277752,0.6863176790000001,0.131812393,0.069156328,0.369688661,0.320319525,0.40848324514991186,0.6414462081128747,0.6222222222222222,0.4392768959435627,0.15999999999999998,1.0,0.15223985890652555,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3111111111111111,0.5777777777777777
64,0.15793823,0.098356599,0.334038055,1419,0.198393872,0.670061962,0.08589527599999999,0.13232798699999998,0.11577322,0.303425527,0.4776148790941688,0.3568555814117943,0.6031777339469646,0.2842888264485896,0.02258382642998028,1.0,0.2380962944572413,0.11045364891518737,0.047337278106508875,0.013806706114398421,0.0670611439842209,0.5404339250493096
